AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Eye
-0.0140383924722019,0.3738554682699214,-0.4930119624573808,0.0411627485191236,0.08508287959991248,-0.012970985788723534,-0.47759876711305177,-0.1361140912624496,-0.015279574249722752,-0.027049300987889515,-0.20297553849914646,-0.333901337145982,-0.02727154798829552,-0.012014514365993977,0
-0.0209247746986363,-0.15030226770837635,-0.6525725510102153,-1.2489278471454937,-0.15419207560564507,-0.009011734882271992,0.9385439452976814,0.3980763992600098,-0.00202227769735021,-0.027049300987889515,-0.3383102924144394,-0.04279571316476082,-0.0009917526836711816,-0.01408109305490087,1
-0.010079813903227718,0.2608489839076298,0.29441642968561493,0.9012231456288481,0.20457463554910477,-0.011211636578125609,-0.42128112256544514,-0.2457701667252025,-0.012667279773967147,-0.09658043932682006,0.3380996667255375,0.10892459085937306,-0.004191032112060171,-0.008914646332633768,0
-0.019722763564036867,-0.5921095336992551,-0.25896210044492146,-0.5092893231100017,-0.36344837017031806,-0.012825088537113163,-0.5194269205877371,-0.08894360070026,-0.013070677571572837,-0.2638897409548416,-0.12172192406267793,-0.498450024599786,-0.028337974464425184,-0.012752783772267804,1
0.03469006450109964,2.213015964655565,1.0287271226484873,1.8129408364807629,0.44355814744746286,-0.010916981344480808,-0.08501557502390905,-0.1517354874875974,-0.014476695137984066,-0.15253127720893037,0.2433917200284788,0.6654790719624754,0.030966417363981872,0.0072481289146589,0
-0.01042228634939866,-0.22223370013047788,0.14543788276632727,-0.7672403548484718,0.14482875757450864,-0.007690077426505699,0.3636118749888417,0.476489682272495,-0.006843468851255731,0.4466315789459899,0.6765684567320017,0.5011770841900168,-0.004191032112060171,-0.007364712315953729,0
-0.018171564837263298,-0.3763152364329596,-0.25896210044492146,-0.044709116402923556,-0.24395661422112577,-0.012384536051857471,-0.6878330809825224,-0.2457701667252025,-0.013270418228639334,-0.6397924575996301,-0.29768348519620513,-0.4476298902437517,-0.019813487502634994,-0.013637843586806662,0
-0.005775405315081153,-0.17073961062496112,0.0497845260396087,-0.40597473562568237,-0.2139379535802412,-0.010625186841259546,-0.491541484937951,-0.8271311478098794,-0.018495007180150545,0.08430916275802171,0.297736669943791,0.08351452368135592,-0.008449813169331077,-0.007807961784047936,0
0.009377321641475742,0.9595255991050031,1.124380479375206,1.5892043759221803,1.8486063314255246,0.009179649882269034,1.0506324611448477,1.5920411538796313,0.0144465353019785,1.8114517748564252,1.9887615677936972,1.272853687421657,0.03558529047812804,-0.0008699563110536917,0
-0.01042228634939866,-0.24267104304706263,0.007248868493013385,-0.595161188032049,-0.01954526768242401,-0.010330531607614745,0.41992951953644825,0.05256787098630886,-0.008852624872339149,-0.3475443917688524,-0.29768348519620513,0.4883487007603468,0.004686622059356904,-0.00876641680271918,1
